1C,岗位夜查，内容要求： 1.零晨时段监督小区夜间安全管理，无人员睡岗，警惕性高； 2.夜间巡逻路线是否合理，人员是否按规定时间频次巡查； 3.每月2次夜查，对违规人员和情形进行记录，纳入薪资考核； 4.APP上完成提交该任务，填写培训主要内容，拍摄上传现场图片；,,M,1,31,保安负责人,保安负责人
1C,检查部门全部人员出勤与纪律，内容要求:1.出勤纪律：员工按时出勤，无吸烟，无脱岗，无睡岗；2.仪容仪表：着装统一规范，仪表整洁；3.对违规人员和情形进行记录，纳入薪资考核；4.APP上完成提交该任务，填写检查结果（是否正常，异常写明原因），拍摄上传现场图片；,,D,1,1,保安负责人,保安负责人
1C,检查消防系统安全管理，内容要求：消防栓、管道、水管、接头、烟感、喷淋、排风、应急灯、消防斧、消防钳、警报系统等正常运作，无安全隐患，有队员巡查，消防通道无堵塞。,,W,1,7,保安负责人,保安负责人
1C,停车费收缴监管，内容要求：1.费用收取操作规范准确，票据、费用和记账一致，无私自收取或多收现象；2.每班次收取费用及时准确提交财务入账；3.对违规人员和情形进行记录，纳入薪资考核；4.APP上完成提交该任务，填写检查结果（是否正常，异常写明原因），拍摄上传现场图片；,,D,1,1,保安负责人,保安负责人
1C,巡查园区、外围及停车场秩序及安全隐患，内容要求：1.无可疑人员，路面公共区域及车库无乱停乱放、通道无堵塞；2.外围无商铺占道经营、乱堆乱放；3.发现异常及安全隐患，及时通过发布任务或发布报修安排处理；4.APP上完成提交该任务，填写检查结果（是否正常，异常写明原因），拍摄上传现场图片；,,D,1,1,保安负责人,保安负责人
1C,组织实施部门人员进行相关培训，内容要求： 1.培训内容要有工作技能、科技工具使用、服务意识、应急或突发事件处理等相关方面信息； 2.每月举办2次； 3.APP上完成提交该任务，填写培训主要内容，拍摄上传现场图片；,,M,1,31,保安负责人,保安负责人
1C,5、9、10、26、18号楼消防点巡查，内容要求：1.每月1次，全部巡查到位；2.无乱堆乱放，无堵塞通道，设备无损坏且正常运作；3.发现异常及安全隐患，及时通过发布任务或发布报修安排处理；4.APP上完成提交该任务，填写检查结果（是否正常，异常写明原因），拍摄上传现场图片；,,M,1,31,保安领班,保安领班
1C,检查下属人员岗位纪律，每日4次，内容要求:1.出勤纪律：员工按时出勤，无吸烟，无脱岗，无睡岗；2.仪容仪表：着装统一规范，仪表整洁；3.对违规人员和情形进行记录，纳入薪资考核；4.APP上完成提交该任务，填写检查结果（是否正常，异常写明原因），拍摄上传现场图片；,,D,1,1,保安领班,保安领班
1C,检查消防系统，内容要求：消防栓、管道、水管、接头、烟感、喷淋、排风、应急灯、消防斧、消防钳、警报系统是否可正常使用，如有损坏等异常及时发布报修，消防通道无堵塞。,,D,1,1,保安领班,保安领班
1C,上、下班前做好工作交接，内容要求：1.文档资料、物品设备交接：清点确认，如有异常，做好记录，并在APP提交任务时写明；2.事项交接：汇总未处理事项，安排交接人持续跟进；3.APP上完成提交该任务，填写确认结果（是否确认，异常写明原因），拍摄上传现场图片；,,D,1,1,保安领班,保安领班
