1B,每日组织召开项目晨会，了解及分配当日工作,,D,1,1,项目负责人,项目负责人
1C,每日抽查多名员工(包括驻场服务人员)的工作着装、形象和岗位纪律,,D,1,1,项目负责人,项目负责人
1C,"每天对园区及外围进行巡查，巡查内容包括：1.【保洁】多个单元、园区及外围的卫生情况；2.【绿化】无病虫害、无杂草、无鼠洞、无枯死、定期修剪；3.【安全】人员安全、车辆安全、环境安全、消防安全等；4.【设施设备】包括但不限于电梯、照明、给水排水设施、供配电设施等，是否缺失、损坏、是否有管理痕迹；5.【装修】无违规装修""",,D,1,1,项目负责人,项目负责人
1C,检查前台每日报事报修记录：处理及时率、处理完成率、有没特别事件,,D,1,1,项目负责人,项目负责人
1C,抽查风机房：是否上锁，是否有推放杂物，设备是保有保养,,W,1,7,项目负责人,项目负责人
1C,抽查多台电梯轿厢，电梯机房,,W,1,7,项目负责人,项目负责人
1C,抽查水泵房:泵体，管道，控制柜，水位报警，储压罐，水箱,,W,1,7,项目负责人,项目负责人
1C,抽查停车收费情况：收费情况与实际是否相符,,W,1,7,项目负责人,项目负责人
1C,抽查消控中心:是否有交接班，设备是否运行正常，是否有异常管理,,W,1,7,项目负责人,项目负责人
1C,抽查业主档案，设备台帐，收费台帐完整性、更新情况抽查，保持档案台帐及时完整,,M,1,31,项目负责人,项目负责人
1C,抽查物业仓库管理:入库，出库，损耗,,M,1,31,项目负责人,项目负责人
1C,检查小区绿化生长情况：修剪整齐、无明显病虫害、定期草坪除草、无垃圾、无积水、无裸露黄土,,D,1,1,绿化负责人,绿化负责人
1C,检查小区果皮箱、垃圾桶垃圾是否及时清理，垃圾桶放置是否有序，检查绿化垃圾清运情况,,D,1,1,保洁负责人,保洁负责人
1C,巡查车库（包含自行车库）、商铺、公共道路及外围的清洁卫生情况,,D,1,1,保洁负责人,保洁负责人
1C,检查公共卫生间地面/墙面/门等清洁、冲洗、垃圾清倒,,D,1,1,保洁负责人,保洁负责人
1C,检查地面及天台排水沟情况，排水是否通畅，是否有堵塞,,W,1,7,保洁负责人,保洁负责人
1C,检查休闲娱乐设施、标识标牌：无污渍、无明显灰尘、无锈迹,,W,1,7,保洁负责人,保洁负责人
1C,检查消防通道扶手、护栏、楼道开关门窗，的清洁剂擦抹情况，每周2次,,W,1,7,保洁负责人,保洁负责人
1B,组织地面路面清洗：积泥花岗岩路面冲洗、油污重的水磨石地面机洗；,,M,1,31,保洁负责人,保洁负责人
1B,做好交接班：交接班时检查设备是否完好无损，确认遗留待办事项。,,D,1,1,门岗,门岗
1C,道闸系统查看：实时查看道闸门禁使用情况，发生故障或异常，立即上报。,,D,1,1,门岗,门岗
1C,巡逻园区、地下车库及外围秩序：无可疑人员，各类公共提示牌完好，路面公共区域没有乱停乱放、通道没有堵塞；地下车库无乱停乱放，道路畅通，没有跑冒滴漏；外围无商铺占道经营、无乱堆乱放、无安全隐患。,,D,1,1,巡逻岗,巡逻岗
1C,巡查安全隐患点：天台、女儿墙没有杂物堆放，吊装绳完好，排水口没有堵塞，周界报警设备完好，防爬刺没有损坏。,,D,1,1,巡逻岗,巡逻岗
1B,每月组织召开项目月会，了解及分配当月工作，做好月报汇总,,M,1,31,项目负责人,项目负责人
1B,监督组织完成消防演习，确保团队消防应急能力可快速响应。,,M,1,31,项目负责人,项目负责人
1C,检查消防系统安全管理，内容要求：消防栓、管道、水管、接头、烟感、喷淋、排风、应急灯、消防斧、消防钳、警报系统等正常运作，无安全隐患，有队员巡查，消防通道无堵塞。,,D,1,1,巡逻岗,巡逻岗
1B,组织一次月会：召开一次全体员工的会议，落实周计划，布置任务，进行交流，了解员工意见，正面反映意见,,M,1,31,项目负责人,项目负责人
