1C,对供水系统进行检查并记录（包含卫生清洁）,,D,1,1,工程负责人,工程负责人
1C,对消防泵房进行检查并记录,,D,1,1,工程负责人,工程负责人
1A,通过管家田螺总结计划对当日工作待遗留事件进行提交（包含跟进计划）,,D,1,1,工程负责人,工程负责人
1C,抽查10个单元楼道照明及指示牌情况（每天抽查一轮后下轮开始）,,W,1,7,工程负责人,工程负责人
1C,所有排水泵、排水沟每周排查一次，并记录,,W,1,7,工程负责人,工程负责人
1C,道路路面进行检查并记录,,W,1,7,工程负责人,工程负责人
1C,园区指示牌检查并记录,,W,1,7,工程负责人,工程负责人
1C,一个苑的门禁公共设施设备检查并记录,,W,1,7,工程负责人,工程负责人
1C,道闸公共设施设备检查并记录,,W,1,7,工程负责人,工程负责人
1C,监控、摄像头公共设施设备检查并记录,,W,1,7,工程负责人,工程负责人
1C,公共区域设备异常（包括安全隐患）记录并报修,,W,1,7,工程负责人,工程负责人
1C,每月2次/部电梯进行维护保养（包含电梯机房的整理，保证整洁、干净、无明显灰尘，无杂物及烟头）,,M,1,31,工程负责人,工程负责人
1C,电梯轿箱顶： 每月除尘、杂物一次,,M,1,31,工程负责人,工程负责人
1C,每月检查一次电梯轿厢内标识粘贴是否完整且清晰（有效期内的检验合格标志，电梯安全使用须知，维保单位名称和电话，严禁推门、扒门警告标志）及轿厢内是否存在小广告及牛皮癣（发现上报并有记录）,,M,1,31,工程负责人,工程负责人
1C,路面保养一月一次,,M,1,31,工程负责人,工程负责人
1C,避雷设施检查并记录,,Y,101,1231,工程负责人,工程负责人
1C,房屋本体保养（每季度一次）,,Y,101,1231,工程负责人,工程负责人
1C,每年对每部电梯进行检测,,Y,101,1231,工程负责人,工程负责人
1C,园区木制品、铁制品保养一年两次,,Y,101,1231,工程负责人,工程负责人
1C,排污井每周检查一次，并记录,,W,1,7,工程负责人,工程负责人
1C,消防泵及生活水泵房、主机控制柜、泵体、管道、储压罐、报警系统、排水泵、等是否正常运行，是否存在安全隐患；,,D,1,1,工程负责人,工程负责人
1C,每日抽查保洁5个楼道的卫生情况，及楼道生活垃圾、建筑垃圾堆放情况,,D,1,1,项目负责人,项目负责人
1C,每天巡查一次小区各出入口（人、车出入口），地下车库出入口，公共道路情况,,D,1,1,项目负责人,项目负责人
1C,抽查至少3个设备房和设备间,,W,1,7,项目负责人,项目负责人
1C,抽查绿化养护标准（可分区域和编号）,,W,1,7,项目负责人,项目负责人
1C,抽查监控中心管理,,W,1,7,项目负责人,项目负责人
1B,每周1次对部门上班人数进行抽查,,W,1,7,项目负责人,项目负责人
1A,拟定并提交月资金使用计划和物料采购计划（本月提交下个月计划，每月25日前）,,M,1,31,项目负责人,项目负责人
1A,拟定并提交月度排班（每月28日前）,,M,1,31,项目负责人,项目负责人
1A,制定APP内月度公示资料，APP和小区公告栏公示上月总结和本月计划（每月5号),,M,1,31,项目负责人,项目负责人
1A,提交月度上月工作总结及本月计划（每月25号）,,M,1,31,项目负责人,项目负责人
1A,拟定并提交上月度财务收支报表（每月25号）,,M,1,31,项目负责人,项目负责人
1A,拟定并提交上月度收费进度与分析（每月25号）,,M,1,31,项目负责人,项目负责人
1C,例行夜查（每月2次）,,M,1,31,项目负责人,项目负责人
