1B,每日组织召开项目日会：1、了解及沟通协调各部门工作；2、对工作任务进行布置，落实执行人；3、可拍摄会议现场或会议纪要作为记录。,当天重点工作能分配派发完成，每项任务都有执行人。,D,1,1,项目负责人,项目负责人
1C,每日抽查多名员工（包括驻场服务人员）的工作着装、形象和岗位纪律。,职业着装，无缺人少岗，发色自然色。,D,1,1,项目负责人,项目负责人
1C,每天巡查园区及外围，内容包括：1.【保洁】多个单元楼、园区及外围的卫生是否达到要求；2.【绿化】无病虫害、无杂草、无鼠洞、无枯死、定期修剪；3.【安全】人员、车辆、环境、消防等是否存在安全隐患；4.【设施设备】电梯、照明、给水排水、供配电等设施设备是否正常运作，有无损坏，是否有管理维护记录。,1.卫生符合要求，主管巡查及管理到位；2.绿化无病虫害，绿化带无生活垃圾、及时修剪；3.无未经许可人入园，车辆无乱停乱放，园区无安全隐患，安全无管理缺失，有管理记录；4.电梯运行正常、照明正常，门禁及弱电可正常使用，有维护及管理记录。,D,1,1,项目负责人,项目负责人
1C,检查每日投诉、报修、咨询记录：1.关注处理及时率、处理完成率、有无特别事件；2.对重点事项及时督办。,客服负责人有监督记录，处理及时率不低于90%，当天完成率不低于80%。,D,1,1,项目负责人,项目负责人
1C,装修管理监督：抽查装修管理制度是否执行到位，是否有违规装修。,1.装修户100%已办理装修申请；2.装修户100%每天有人巡查。,W,1,7,项目负责人,项目负责人
1C,巡查配电房，内容：1.防鼠、防虫、防潮、防涝、防火等设施是否定期检查或更换；2.保养效果与标准是否符合要求；3.维保或管理记录是否规范完整。,1.房门有上锁，房内无水患，无垃圾无杂物堆放，防鼠挡板完好、工具摆放整齐；2.设备完好无损，无安全隐患；有按要求巡查，定期保养。,W,1,7,项目负责人,项目负责人
1C,风机房检查：抽查是否上锁，标识是否清晰完整，设备是否定期保养，巡查记录是否完整。,1.房门有上锁，房内无垃圾无杂物；2.设备完好，有定期保养，有巡查记录。,W,1,7,项目负责人,项目负责人
1C,电梯设备检查：抽查电梯轿厢、电梯机房、井底（无机房电梯）。,1.轿厢内无异味、无垃圾，年检证在有效期内，按键及层显正常；2.电梯机房温度合理，设备无异响、无水患、无明显灰尘，钢丝绳无起股断股现象，平层标识清楚，油封油量足够；3.有按时保养，设备运行正常。,W,1,7,项目负责人,项目负责人
1C,抽查水泵房：泵体、管道、控制柜、水位报警、储压罐、水箱等是否正常，有无安全隐患。,1.控制柜有编号有标识；2.水泵运行无异响，管道无滴水漏水，压力值在安全范围内，水流导向指示清楚可见，测试排水泵可正常启动；3.水池水箱检修口上锁；4.有及时维保养及管理记录。,W,1,7,项目负责人,项目负责人
1C,抽查排水系统：抽查天面天台排水口、排水沟、集水井、污水泵等,1.楼顶天面无垃圾堆放，天面排水口无堵塞；2.地面排水沟无垃圾，排水通畅；3.集水井垃圾及时清掏，积水不得超过排水口最高点；4.测试污水泵可正常启动。,W,1,7,项目负责人,项目负责人
1C,抽查中央空调或供暖系统：抽查主机及台架、冷却系统、保温层、管道、泄压阀、风口、开关、标识等,1.主机无异响；2.冷却系统无泄漏，保温层无损坏，风口目测无积尘；3.有按时养护，有巡查管理记录。,W,1,7,项目负责人,项目负责人
1C,抽查停车收费情况：收费情况与实际是否相符。,无少收、无多收，账钱相符，无收费漏洞。,W,1,7,项目负责人,项目负责人
1C,抽查消控中心：查看是否有交接班，设备是否运行正常，是否有异常管理。,1.探头可正常显示、无遮挡，定期记录情况；2.消控主机正常运行，设备无损坏，每次警报及时派人核实并有记录；3.消防设备齐全，无损坏无丢失，水管压力正常，灭火器压力正常，消防通道无堵塞，应急照明正常等。,W,1,7,项目负责人,项目负责人
1C,抽查危险化学用品使用：查看绿化杀虫药剂、四害消杀药剂、工程油漆使用后，使用现场是否放置安全标识及相应管理措施。,杀虫喷药必挂标识、四害消杀有标识、工程刷漆挂标识。,W,1,7,项目负责人,项目负责人
1C,抽查绿化养护：是否有病、虫、害，修剪是否美观，是否有坏死，是否有积水。,绿化无病虫害，绿化带无生活垃圾，及时修剪。,W,1,7,项目负责人,项目负责人
1C,每周多次对供应商人员上班人数进行抽查，了解工作人数和工作要求是否达标。,无缺人少岗；单个人员连续缺岗时间不超过合理范围。,W,1,7,项目负责人,项目负责人
1B,每周与项目部分骨干（不少于一位）进行交流，了解员工意见，进行反馈沟通。,深入沟通工作及生活，消除负面情绪，给予鼓励。,W,1,7,项目负责人,项目负责人
1A,起草每周总结与下周计划，上报公司。,四大专业（客服、工程、安保、环境）有总结汇报，重点工作有进度说明，收费进度按公司指标完成。,W,1,7,项目负责人,项目负责人
1B,组织服务中心品质周检活动：带领项目骨干人员进行品质周检，召开骨干会议，布置任务，落实计划。,工作重点有检查，计划工作有落实。,W,1,7,项目负责人,项目负责人
1C,巡查电梯机房维保运行，内容要求：1.环境干净整洁，无明显灰尘和杂物，温度、湿度符合要求，无鼠患；2.应急灯、门机装置、曳引轮绳槽、相序继电器、称重装置、荷载衡量开关等设备正常运作，无损坏等安全隐患。,1.机房内环境整洁干净，无明显灰尘，无杂物；2.机房内温度不得超过40摄氏度，排风扇正常可用；3.设备无异响、无隐患，防鼠挡板无损坏，应急灯正常；4.平层标识清晰、钢丝绳无断股起股，超载及限速器正常；5.工程按计划巡查，保养效果良好，保养记录完善。,M,1,31,项目负责人,项目负责人
1A,提交本月工作总结、下月计划：包括但不限于本月各专业的任务完成情总，收费进度与分析总结，下月工作计划及采购计划等。,月度重点工作有反馈，收费完成数与指标有对比，未完计划必须有说明与改进计划。,M,1,31,项目负责人,项目负责人
1C,收支把控：对照《年度财务预算》，对比分析当月收支执行情况，如有问题请阐述，并及时制定解决方案。,完成支出不能超过预算100%，收入完成月度指标100%以上，超预算支出必须要有原因说明与调整计划。,M,1,31,项目负责人,项目负责人
1A,审核拟定项目财务公示报表，并进行公示。,公布及时，无错误。,M,1,31,项目负责人,项目负责人
1A,审核项目排班表：确认项目下月度排班。,排班合理，计划性重点日子无休息缺岗。,M,1,31,项目负责人,项目负责人
1A,绩效考核：每月初对员工或供应商上月的绩效及团队状态进行考核评估，并沟通反馈考评结果与意见。,考评结果有客观依据，符合20%优秀、70%合格、10%要提升。,M,1,31,项目负责人,项目负责人
1B,监督项目培训计划落实：包括但不限于新员工培训、管理技巧、专业技能、专题学习等培训。,培训课程有审核，培训效果有考核，抽查人员已掌握。,M,1,31,项目负责人,项目负责人
1C,抽查业主档案、设备台帐、收费台帐的完整性及更新情况，保持档案、台帐保存完整、更新及时。,1.设备台帐变动，1个月内有更新；2.业主档案变动，2个工作日内有更新；3.收费台帐变动，当天内有更新。,M,1,31,项目负责人,项目负责人
1A,进行业主拜访，参加业委会沟通会议：收集业主意见，对业委会进行重点工作沟通。,1.意见合理、可快速落实的，立即布置完成；2.合理但需要时间处理的，告知客户计划安排；3.不合理的需求，要如实告知客户理由及原因（涉及公司敏感信息除外）。,M,1,31,项目负责人,项目负责人
1C,抽查危化物品存放是否安全受控：查看危化物品存放的仓库情况、摆放点、温度、湿度、标识等。,1.存放地封闭上锁；2.危化物品名称、标识、成份组成清晰可见；3.急救方法说明张贴上墙，内容覆盖各类紧急情况（如误用、误食、误吸、误入眼各类危化物品）；4.易燃物品配有专用灭火设备，防毒面具无破损。,M,1,31,项目负责人,项目负责人
