1;1;1;绿化
2;1;2;清洁
3;1;3;工程维修
4;1;4;安保
5;1;5;电梯
6;1;6;服务中心
7;1;7;其他
8;1;8;邻里
9;1;9;室内维修
10;1;10;养护
11;2;1;绿化
12;2;2;清洁
13;2;3;工程维修
14;2;4;安保
15;2;5;电梯
16;2;6;服务中心
17;2;7;其他
18;2;8;邻里
19;2;9;室内维修
20;2;10;养护
21;5;1;绿化
22;5;2;清洁
23;5;3;工程维修
24;5;4;安保
25;5;5;电梯
26;5;6;服务中心
27;5;7;其他
28;5;8;邻里
29;5;9;室内维修
30;5;10;养护
31;9;1;绿化
32;9;2;清洁
33;9;3;工程维修
34;9;4;安保
35;9;5;电梯
36;9;6;服务中心
37;9;7;其他
38;9;8;邻里
39;9;9;室内维修
40;9;10;养护
41;10;1;绿化
42;10;2;清洁
43;10;3;工程维修
44;10;4;安保
45;10;5;电梯
46;10;6;服务中心
47;10;7;其他
48;10;8;邻里
49;10;9;室内维修
50;10;10;养护
51;11;1;绿化
52;11;2;清洁
53;11;3;工程维修
54;11;4;安保
55;11;5;电梯
56;11;6;服务中心
57;11;7;其他
58;11;8;邻里
59;11;9;室内维修
60;11;10;养护
61;12;1;绿化
62;12;2;清洁
63;12;3;工程维修
64;12;4;安保
65;12;5;电梯
66;12;6;服务中心
67;12;7;其他
68;12;8;邻里
69;12;9;室内维修
70;12;10;养护
71;13;1;绿化
72;13;2;清洁
73;13;3;工程维修
74;13;4;安保
75;13;5;电梯
76;13;6;服务中心
77;13;7;其他
78;13;8;邻里
79;13;9;室内维修
80;13;10;养护
81;14;1;绿化
82;14;2;清洁
83;14;3;工程维修
84;14;4;安保
85;14;5;电梯
86;14;6;服务中心
87;14;7;其他
88;14;8;邻里
89;14;9;室内维修
90;14;10;养护
91;15;1;绿化
92;15;2;清洁
93;15;3;工程维修
94;15;4;安保
95;15;5;电梯
96;15;6;服务中心
97;15;7;其他
98;15;8;邻里
99;15;9;室内维修
100;15;10;养护
101;16;1;绿化
102;16;2;清洁
103;16;3;工程维修
104;16;4;安保
105;16;5;电梯
106;16;6;服务中心
107;16;7;其他
108;16;8;邻里
109;16;9;室内维修
110;16;10;养护
111;17;1;绿化
112;17;2;清洁
113;17;3;工程维修
114;17;4;安保
115;17;5;电梯
116;17;6;服务中心
117;17;7;其他
118;17;8;邻里
119;17;9;室内维修
120;17;10;养护
121;18;1;绿化
122;18;2;清洁
123;18;3;工程维修
124;18;4;安保
125;18;5;电梯
126;18;6;服务中心
127;18;7;其他
128;18;8;邻里
129;18;9;室内维修
130;18;10;养护
131;19;1;绿化
132;19;2;清洁
133;19;3;工程维修
134;19;4;安保
135;19;5;电梯
136;19;6;服务中心
137;19;7;其他
138;19;8;邻里
139;19;9;室内维修
140;19;10;养护
141;20;1;绿化
142;20;2;清洁
143;20;3;工程维修
144;20;4;安保
145;20;5;电梯
146;20;6;服务中心
147;20;7;其他
148;20;8;邻里
149;20;9;室内维修
150;20;10;养护
151;21;1;绿化
152;21;2;清洁
153;21;3;工程维修
154;21;4;安保
155;21;5;电梯
156;21;6;服务中心
157;21;7;其他
158;21;8;邻里
159;21;9;室内维修
160;21;10;养护
161;22;1;绿化
162;22;2;清洁
163;22;3;工程维修
164;22;4;安保
165;22;5;电梯
166;22;6;服务中心
167;22;7;其他
168;22;8;邻里
169;22;9;室内维修
170;22;10;养护
171;23;1;绿化
172;23;2;清洁
173;23;3;工程维修
174;23;4;安保
175;23;5;电梯
176;23;6;服务中心
177;23;7;其他
178;23;8;邻里
179;23;9;室内维修
180;23;10;养护
